# time  ID  size  fromHost  toHost  TTL  isResponse
3527.0000 M1 505514 Beijing0 Kashi1 300 N 
3527.0000 M2 984638 Beijing0 Sanya2 300 N 
3527.0000 M3 618834 Beijing0 Sat13 300 N 
3527.0000 M4 800811 Beijing0 Sat24 300 N 
3527.0000 M5 644201 Beijing0 Sat35 300 N 
3527.0000 M6 922110 Beijing0 Sat46 300 N 
3527.0000 M7 977273 Beijing0 Sat57 300 N 
3527.0000 M8 829931 Beijing0 Sat68 300 N 
3527.0000 M9 855873 Kashi1 Beijing0 300 N 
3527.0000 M10 945131 Kashi1 Sanya2 300 N 
3527.0000 M11 968122 Kashi1 Sat13 300 N 
3527.0000 M12 575923 Kashi1 Sat24 300 N 
3527.0000 M13 850969 Kashi1 Sat35 300 N 
3527.0000 M14 795971 Kashi1 Sat46 300 N 
3527.0000 M15 523257 Kashi1 Sat57 300 N 
3527.0000 M16 902337 Kashi1 Sat68 300 N 
3527.0000 M17 800554 Sanya2 Beijing0 300 N 
3527.0000 M18 771601 Sanya2 Kashi1 300 N 
3527.0000 M19 874671 Sanya2 Sat13 300 N 
3527.0000 M20 506241 Sanya2 Sat24 300 N 
3527.0000 M21 826283 Sanya2 Sat35 300 N 
3527.0000 M22 894715 Sanya2 Sat46 300 N 
3527.0000 M23 661032 Sanya2 Sat57 300 N 
3527.0000 M24 672208 Sanya2 Sat68 300 N 
3527.0000 M25 754921 Sat13 Beijing0 300 N 
3527.0000 M26 666703 Sat13 Kashi1 300 N 
3527.0000 M27 612010 Sat13 Sanya2 300 N 
3527.0000 M28 626475 Sat13 Sat24 300 N 
3527.0000 M29 527347 Sat13 Sat35 300 N 
3527.0000 M30 987173 Sat13 Sat46 300 N 
3527.0000 M31 913877 Sat13 Sat57 300 N 
3527.0000 M32 769587 Sat13 Sat68 300 N 
3527.0000 M33 792401 Sat24 Beijing0 300 N 
3527.0000 M34 624593 Sat24 Kashi1 300 N 
3527.0000 M35 587686 Sat24 Sanya2 300 N 
3527.0000 M36 980511 Sat24 Sat13 300 N 
3527.0000 M37 775700 Sat24 Sat35 300 N 
3527.0000 M38 867273 Sat24 Sat46 300 N 
3527.0000 M39 863541 Sat24 Sat57 300 N 
3527.0000 M40 992254 Sat24 Sat68 300 N 
3527.0000 M41 728040 Sat35 Beijing0 300 N 
3527.0000 M42 664013 Sat35 Kashi1 300 N 
3527.0000 M43 562047 Sat35 Sanya2 300 N 
3527.0000 M44 880680 Sat35 Sat13 300 N 
3527.0000 M45 957927 Sat35 Sat24 300 N 
3527.0000 M46 565687 Sat35 Sat46 300 N 
3527.0000 M47 545086 Sat35 Sat57 300 N 
3527.0000 M48 854239 Sat35 Sat68 300 N 
3527.0000 M49 506471 Sat46 Beijing0 300 N 
3527.0000 M50 722848 Sat46 Kashi1 300 N 
3527.0000 M51 693107 Sat46 Sanya2 300 N 
3527.0000 M52 774311 Sat46 Sat13 300 N 
3527.0000 M53 711571 Sat46 Sat24 300 N 
3527.0000 M54 746091 Sat46 Sat35 300 N 
3527.0000 M55 720934 Sat46 Sat57 300 N 
3527.0000 M56 530271 Sat46 Sat68 300 N 
3527.0000 M57 506872 Sat57 Beijing0 300 N 
3527.0000 M58 871091 Sat57 Kashi1 300 N 
3527.0000 M59 991397 Sat57 Sanya2 300 N 
3527.0000 M60 754268 Sat57 Sat13 300 N 
3527.0000 M61 916565 Sat57 Sat24 300 N 
3527.0000 M62 794029 Sat57 Sat35 300 N 
3527.0000 M63 875016 Sat57 Sat46 300 N 
3527.0000 M64 527969 Sat57 Sat68 300 N 
3527.0000 M65 626902 Sat68 Beijing0 300 N 
3527.0000 M66 712953 Sat68 Kashi1 300 N 
3527.0000 M67 790517 Sat68 Sanya2 300 N 
3527.0000 M68 848700 Sat68 Sat13 300 N 
3527.0000 M69 887290 Sat68 Sat24 300 N 
3527.0000 M70 609515 Sat68 Sat35 300 N 
3527.0000 M71 640222 Sat68 Sat46 300 N 
3527.0000 M72 508959 Sat68 Sat57 300 N 
6990.0000 M73 951216 Beijing0 Kashi1 300 N 
6990.0000 M74 580040 Beijing0 Sanya2 300 N 
6990.0000 M75 884570 Beijing0 Sat13 300 N 
6990.0000 M76 995680 Beijing0 Sat24 300 N 
6990.0000 M77 553631 Beijing0 Sat35 300 N 
6990.0000 M78 773543 Beijing0 Sat46 300 N 
6990.0000 M79 885202 Beijing0 Sat57 300 N 
6990.0000 M80 963205 Beijing0 Sat68 300 N 
6990.0000 M81 670813 Kashi1 Beijing0 300 N 
6990.0000 M82 519301 Kashi1 Sanya2 300 N 
6990.0000 M83 707936 Kashi1 Sat13 300 N 
6990.0000 M84 904952 Kashi1 Sat24 300 N 
6990.0000 M85 503373 Kashi1 Sat35 300 N 
6990.0000 M86 854050 Kashi1 Sat46 300 N 
6990.0000 M87 684104 Kashi1 Sat57 300 N 
6990.0000 M88 733640 Kashi1 Sat68 300 N 
6990.0000 M89 511314 Sanya2 Beijing0 300 N 
6990.0000 M90 555510 Sanya2 Kashi1 300 N 
6990.0000 M91 964884 Sanya2 Sat13 300 N 
6990.0000 M92 630182 Sanya2 Sat24 300 N 
6990.0000 M93 764386 Sanya2 Sat35 300 N 
6990.0000 M94 559729 Sanya2 Sat46 300 N 
6990.0000 M95 665997 Sanya2 Sat57 300 N 
6990.0000 M96 706109 Sanya2 Sat68 300 N 
6990.0000 M97 870826 Sat13 Beijing0 300 N 
6990.0000 M98 982211 Sat13 Kashi1 300 N 
6990.0000 M99 864342 Sat13 Sanya2 300 N 
6990.0000 M100 972383 Sat13 Sat24 300 N 
6990.0000 M101 834520 Sat13 Sat35 300 N 
6990.0000 M102 546679 Sat13 Sat46 300 N 
6990.0000 M103 600773 Sat13 Sat57 300 N 
6990.0000 M104 500314 Sat13 Sat68 300 N 
6990.0000 M105 988617 Sat24 Beijing0 300 N 
6990.0000 M106 707738 Sat24 Kashi1 300 N 
6990.0000 M107 622078 Sat24 Sanya2 300 N 
6990.0000 M108 718313 Sat24 Sat13 300 N 
6990.0000 M109 777199 Sat24 Sat35 300 N 
6990.0000 M110 627290 Sat24 Sat46 300 N 
6990.0000 M111 672749 Sat24 Sat57 300 N 
6990.0000 M112 917990 Sat24 Sat68 300 N 
6990.0000 M113 975325 Sat35 Beijing0 300 N 
6990.0000 M114 639593 Sat35 Kashi1 300 N 
6990.0000 M115 888064 Sat35 Sanya2 300 N 
6990.0000 M116 913054 Sat35 Sat13 300 N 
6990.0000 M117 848083 Sat35 Sat24 300 N 
6990.0000 M118 678625 Sat35 Sat46 300 N 
