# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
3534.3000 M4 800811 1 7.3000 Beijing0 Sat24 299 N Beijing0->Sat24
3537.5000 M33 792401 1 10.5000 Sat24 Beijing0 299 N Sat24->Beijing0
3541.5000 M2 984638 2 14.5000 Beijing0 Sanya2 299 N Beijing0->Sat24->Sanya2
3543.9000 M35 587686 1 16.9000 Sat24 Sanya2 299 N Sat24->Sanya2
3546.0000 M20 506241 1 19.0000 Sanya2 Sat24 299 N Sanya2->Sat24
3558.7000 M17 800554 2 31.7000 Sanya2 Beijing0 299 N Sanya2->Sat24->Beijing0
3574.6000 M63 875016 1 47.6000 Sat57 Sat46 299 N Sat57->Sat46
3577.5000 M55 720934 1 50.5000 Sat46 Sat57 299 N Sat46->Sat57
3863.1000 M72 508959 1 336.1000 Sat68 Sat57 294 N Sat68->Sat57
3865.3000 M64 527969 1 338.3000 Sat57 Sat68 294 N Sat57->Sat68
3873.9000 M56 530271 2 346.9000 Sat46 Sat68 294 N Sat46->Sat57->Sat68
3882.6000 M71 640222 2 355.6000 Sat68 Sat46 294 N Sat68->Sat57->Sat46
4059.9000 M45 957927 1 532.9000 Sat35 Sat24 291 N Sat35->Sat24
4062.5000 M5 644201 2 535.5000 Beijing0 Sat35 291 N Beijing0->Sat24->Sat35
4065.7000 M37 775700 1 538.7000 Sat24 Sat35 291 N Sat24->Sat35
4069.1000 M21 826283 2 542.1000 Sanya2 Sat35 290 N Sanya2->Sat24->Sat35
4213.9000 M11 968122 1 686.9000 Kashi1 Sat13 288 N Kashi1->Sat13
4216.6000 M26 666703 1 689.6000 Sat13 Kashi1 288 N Sat13->Kashi1
4588.0000 M15 523257 2 1061.0000 Kashi1 Sat57 282 N Kashi1->Sat13->Sat57
4591.7000 M31 913877 1 1064.7000 Sat13 Sat57 282 N Sat13->Sat57
4594.8000 M60 754268 1 1067.8000 Sat57 Sat13 282 N Sat57->Sat13
4598.2000 M68 848700 2 1071.2000 Sat68 Sat13 282 N Sat68->Sat57->Sat13
4601.3000 M52 774311 2 1074.3000 Sat46 Sat13 282 N Sat46->Sat57->Sat13
4611.2000 M58 871091 2 1084.2000 Sat57 Kashi1 281 N Sat57->Sat13->Kashi1
4614.1000 M50 722848 3 1087.1000 Sat46 Kashi1 281 N Sat46->Sat57->Sat13->Kashi1
4638.4000 M16 902337 3 1111.4000 Kashi1 Sat68 281 N Kashi1->Sat13->Sat57->Sat68
4641.5000 M32 769587 2 1114.5000 Sat13 Sat68 281 N Sat13->Sat57->Sat68
4644.7000 M14 795971 3 1117.7000 Kashi1 Sat46 281 N Kashi1->Sat13->Sat57->Sat46
4648.7000 M30 987173 2 1121.7000 Sat13 Sat46 281 N Sat13->Sat57->Sat46
4668.6000 M66 712953 3 1141.6000 Sat68 Kashi1 280 N Sat68->Sat57->Sat13->Kashi1
4690.2000 M3 618834 1 1163.2000 Beijing0 Sat13 280 N Beijing0->Sat13
4693.7000 M9 855873 2 1166.7000 Kashi1 Beijing0 280 N Kashi1->Sat13->Beijing0
4696.8000 M25 754921 1 1169.8000 Sat13 Beijing0 280 N Sat13->Beijing0
4737.7000 M7 977273 2 1210.7000 Beijing0 Sat57 279 N Beijing0->Sat13->Sat57
4755.5000 M40 992254 4 1228.5000 Sat24 Sat68 279 N Sat24->Beijing0->Sat13->Sat57->Sat68
